epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_f1,epoch_seconds
1,0.652258,0.756667,0.962878,0.577778,0.523881,54.934
2,0.186829,0.936667,0.915019,0.644444,0.639820,52.561
3,0.081539,0.973333,1.002698,0.666667,0.662271,52.238
4,0.016158,0.996667,1.136404,0.644444,0.643739,51.896
5,0.006265,1.000000,1.223056,0.666667,0.662271,51.029
6,0.004014,1.000000,1.316299,0.644444,0.643350,51.760
