epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_f1,epoch_seconds
1,1.406053,0.408453,2.487144,0.334019,0.168207,4.369
2,1.810642,0.401621,1.358440,0.439643,0.383367,4.405
3,1.718177,0.472308,1.901955,0.417010,0.317354,4.483
4,1.855197,0.491620,0.929611,0.633745,0.606344,4.255
5,2.055861,0.489342,2.375526,0.486968,0.393486,4.349
6,2.389946,0.489160,2.353305,0.496571,0.404530,4.265
7,2.605188,0.493077,1.136868,0.588477,0.583985,4.956
8,2.832589,0.489342,1.383527,0.585734,0.581120,4.157
9,3.442149,0.492166,3.559131,0.460905,0.384265,4.123
